# y+ ()       
# Time        	patch         	min           	max           	average       
35            	sideWall	9.516270e+00	8.053684e+01	5.491385e+01
35            	bottom	4.243030e-02	1.769399e+01	5.371238e+00
36            	roughCylinder	1.537988e+00	1.280574e+02	5.339408e+01
36            	sideWall	9.516270e+00	8.053608e+01	5.491381e+01
36            	bottom	4.128363e-02	1.716633e+01	5.374479e+00
37            	roughCylinder	1.219823e+00	1.280558e+02	5.350733e+01
37            	sideWall	9.516270e+00	8.053722e+01	5.491385e+01
37            	bottom	6.200289e-02	1.762434e+01	5.377828e+00
38            	roughCylinder	9.282610e-01	1.280562e+02	5.341886e+01
38            	sideWall	9.516270e+00	8.053646e+01	5.491379e+01
38            	bottom	3.034835e-02	1.796902e+01	5.373756e+00
39            	roughCylinder	1.187946e+00	1.280566e+02	5.333437e+01
39            	sideWall	9.516270e+00	8.053608e+01	5.491375e+01
39            	bottom	6.083770e-02	1.874813e+01	5.375732e+00
40            	roughCylinder	1.334592e+00	1.280554e+02	5.347021e+01
40            	sideWall	9.516270e+00	8.053722e+01	5.491383e+01
40            	bottom	3.775102e-02	1.739966e+01	5.376043e+00
41            	roughCylinder	1.987460e+00	1.280566e+02	5.343927e+01
41            	sideWall	9.516270e+00	8.053608e+01	5.491377e+01
41            	bottom	2.863950e-02	1.723239e+01	5.373555e+00
42            	roughCylinder	1.217251e+00	1.280558e+02	5.339061e+01
42            	sideWall	9.516270e+00	8.053684e+01	5.491380e+01
42            	bottom	5.452777e-02	1.694909e+01	5.371400e+00
43            	roughCylinder	1.638105e+00	1.280558e+02	5.346110e+01
43            	sideWall	9.516270e+00	8.053722e+01	5.491383e+01
43            	bottom	7.424042e-03	1.682574e+01	5.379775e+00
44            	roughCylinder	1.753342e+00	1.280566e+02	5.339583e+01
44            	sideWall	9.516270e+00	8.053608e+01	5.491386e+01
44            	bottom	2.879962e-02	1.764611e+01	5.376942e+00
45            	roughCylinder	1.983772e+00	1.280558e+02	5.342545e+01
45            	sideWall	9.516270e+00	8.053684e+01	5.491392e+01
45            	bottom	3.655586e-02	1.742506e+01	5.372973e+00
46            	roughCylinder	1.405865e+00	1.280566e+02	5.346516e+01
46            	sideWall	9.516270e+00	8.053646e+01	5.491396e+01
46            	bottom	6.552344e-02	1.719398e+01	5.384867e+00
47            	roughCylinder	9.937202e-01	1.280566e+02	5.339710e+01
47            	sideWall	9.516270e+00	8.053608e+01	5.491390e+01
47            	bottom	3.231970e-02	1.744504e+01	5.374748e+00
48            	roughCylinder	1.987666e+00	1.280562e+02	5.341161e+01
48            	sideWall	9.516270e+00	8.053684e+01	5.491389e+01
48            	bottom	2.885580e-02	1.850568e+01	5.378913e+00
49            	roughCylinder	1.393524e+00	1.280570e+02	5.348348e+01
49            	sideWall	9.516270e+00	8.053608e+01	5.491389e+01
49            	bottom	5.166197e-02	1.734900e+01	5.376257e+00
50            	roughCylinder	1.976021e-01	1.280566e+02	5.341389e+01
50            	sideWall	9.516270e+00	8.053646e+01	5.491388e+01
50            	bottom	7.948438e-03	1.730641e+01	5.368853e+00
