# y+ ()       
# Time        	patch         	min           	max           	average       
36            	sideWall	2.355022e+01	8.069293e+01	6.027075e+01
36            	bottom	1.034934e+00	1.255173e+01	5.230507e+00
37            	roughCylinder	7.884702e+00	1.133619e+02	5.624973e+01
37            	sideWall	2.355173e+01	8.068233e+01	6.027004e+01
37            	bottom	1.600535e+00	1.255963e+01	5.230919e+00
38            	roughCylinder	6.267532e+00	1.133667e+02	5.625183e+01
38            	sideWall	2.354983e+01	8.068195e+01	6.026969e+01
38            	bottom	1.252378e+00	1.255656e+01	5.230642e+00
39            	roughCylinder	6.115694e+00	1.133672e+02	5.618667e+01
39            	sideWall	2.355062e+01	8.068650e+01	6.026950e+01
39            	bottom	1.390917e+00	1.256049e+01	5.231097e+00
40            	roughCylinder	2.706041e+00	1.133945e+02	5.625873e+01
40            	sideWall	2.354912e+01	8.067892e+01	6.026925e+01
40            	bottom	5.407212e-01	1.255951e+01	5.231141e+00
41            	roughCylinder	3.942685e+00	1.133879e+02	5.620806e+01
41            	sideWall	2.354999e+01	8.069028e+01	6.026902e+01
41            	bottom	1.082040e+00	1.256524e+01	5.231261e+00
42            	roughCylinder	2.524851e+00	1.133588e+02	5.621650e+01
42            	sideWall	2.355022e+01	8.067211e+01	6.026879e+01
42            	bottom	5.557438e-01	1.255839e+01	5.231356e+00
43            	roughCylinder	4.963718e+00	1.133729e+02	5.624974e+01
43            	sideWall	2.354912e+01	8.068536e+01	6.026846e+01
43            	bottom	9.918501e-01	1.255994e+01	5.231762e+00
44            	roughCylinder	3.013139e+00	1.133614e+02	5.624772e+01
44            	sideWall	2.354991e+01	8.067779e+01	6.026811e+01
44            	bottom	6.014544e-01	1.255985e+01	5.231384e+00
45            	roughCylinder	2.512158e+00	1.133848e+02	5.624836e+01
45            	sideWall	2.354864e+01	8.068271e+01	6.026775e+01
45            	bottom	5.811975e-01	1.255968e+01	5.231935e+00
46            	roughCylinder	4.739777e+00	1.133672e+02	5.624275e+01
46            	sideWall	2.354967e+01	8.068157e+01	6.026739e+01
46            	bottom	1.757198e+00	1.255743e+01	5.231657e+00
47            	roughCylinder	3.033086e+00	1.133513e+02	5.623095e+01
47            	sideWall	2.354816e+01	8.068082e+01	6.026726e+01
47            	bottom	1.154547e+00	1.255056e+01	5.231253e+00
48            	roughCylinder	5.305950e+00	1.133782e+02	5.621163e+01
48            	sideWall	2.354991e+01	8.068915e+01	6.026751e+01
48            	bottom	1.389420e+00	1.255803e+01	5.231851e+00
49            	roughCylinder	2.790580e+00	1.133628e+02	5.623656e+01
49            	sideWall	2.354904e+01	8.067590e+01	6.026781e+01
49            	bottom	5.855264e-01	1.256424e+01	5.231843e+00
50            	roughCylinder	4.294316e+00	1.133936e+02	5.626848e+01
50            	sideWall	2.354880e+01	8.069028e+01	6.026789e+01
50            	bottom	9.940183e-01	1.256693e+01	5.232191e+00
