# y+ ()       
# Time        	patch         	min           	max           	average       
33            	roughCylinder	4.841051e-01	5.220543e+01	3.241894e+01
33            	sideWall	4.267344e+00	7.699886e+01	5.276280e+01
33            	bottom	2.469867e-02	1.384296e+01	2.032596e+00
34            	roughCylinder	6.253043e-01	5.233250e+01	3.271192e+01
34            	sideWall	4.266335e+00	7.692481e+01	5.275194e+01
34            	bottom	5.451814e-02	1.389501e+01	2.044515e+00
35            	roughCylinder	8.863049e-01	5.282926e+01	3.284047e+01
35            	sideWall	4.267280e+00	7.687730e+01	5.274324e+01
35            	bottom	1.913016e-02	1.427471e+01	2.054491e+00
36            	roughCylinder	1.094472e+00	5.504432e+01	3.303489e+01
36            	sideWall	4.265769e+00	7.677669e+01	5.273612e+01
36            	bottom	3.853182e-02	1.426047e+01	2.074117e+00
37            	roughCylinder	4.623811e-01	5.713125e+01	3.307018e+01
37            	sideWall	4.267144e+00	7.670899e+01	5.272979e+01
37            	bottom	3.630583e-02	1.393412e+01	2.086743e+00
38            	roughCylinder	8.602257e-01	5.821019e+01	3.316929e+01
38            	sideWall	4.265161e+00	7.677247e+01	5.272537e+01
38            	bottom	3.298325e-02	1.386069e+01	2.101032e+00
39            	roughCylinder	2.920140e-01	6.011840e+01	3.370684e+01
39            	sideWall	4.266993e+00	7.697533e+01	5.272398e+01
39            	bottom	4.419534e-02	1.387915e+01	2.122302e+00
40            	roughCylinder	5.438674e-01	6.176164e+01	3.416049e+01
40            	sideWall	4.264559e+00	7.719444e+01	5.272442e+01
40            	bottom	6.998162e-02	1.390411e+01	2.136261e+00
41            	roughCylinder	4.676133e-01	6.445655e+01	3.462699e+01
41            	sideWall	4.266657e+00	7.747567e+01	5.272282e+01
41            	bottom	3.278346e-02	1.420493e+01	2.143422e+00
42            	roughCylinder	1.969816e-01	6.587886e+01	3.493328e+01
42            	sideWall	4.264122e+00	7.766997e+01	5.271464e+01
42            	bottom	2.962638e-02	1.404729e+01	2.138447e+00
43            	roughCylinder	1.768627e-01	6.745971e+01	3.501306e+01
43            	sideWall	4.266299e+00	7.777462e+01	5.269940e+01
43            	bottom	2.668366e-02	1.387886e+01	2.138386e+00
44            	roughCylinder	2.699473e-01	6.657033e+01	3.496761e+01
44            	sideWall	4.264065e+00	7.768020e+01	5.267995e+01
44            	bottom	4.072753e-02	1.392117e+01	2.140409e+00
45            	roughCylinder	3.264002e-01	6.463100e+01	3.469764e+01
45            	sideWall	4.265934e+00	7.754254e+01	5.266075e+01
45            	bottom	5.605644e-02	1.406928e+01	2.135543e+00
46            	roughCylinder	9.796194e-02	6.260211e+01	3.468612e+01
46            	sideWall	4.264308e+00	7.744961e+01	5.264528e+01
46            	bottom	1.450914e-02	1.404107e+01	2.138739e+00
47            	roughCylinder	2.031385e-01	6.190953e+01	3.474415e+01
47            	sideWall	4.265504e+00	7.743020e+01	5.263333e+01
47            	bottom	3.008684e-02	1.410726e+01	2.133404e+00
48            	roughCylinder	4.533472e-01	6.227257e+01	3.478537e+01
48            	sideWall	4.264724e+00	7.737567e+01	5.262116e+01
48            	bottom	6.667539e-02	1.405298e+01	2.137289e+00
49            	roughCylinder	1.700369e-02	6.289476e+01	3.500733e+01
49            	sideWall	4.265103e+00	7.735100e+01	5.260787e+01
49            	bottom	9.916502e-02	1.403503e+01	2.136784e+00
50            	roughCylinder	3.315350e-01	6.365089e+01	3.500654e+01
50            	sideWall	4.265154e+00	7.724463e+01	5.259361e+01
50            	bottom	6.310472e-02	1.400524e+01	2.118167e+00
